EngineID,Cycle,Altitude_m,Mach,Tamb_K,Pamb_Pa,RPM_rev_min,FuelFlow_kg_s,P2_Pa,T2_K,P3_Pa,T3_K,P4_Pa,T4_K
73,154,7413.131075219667,0.34040584086498016,241.40179362630428,38700.25182161109,33844.56354558583,1.51319961184156,53474.56090579296,270.3996789978201,51519.76857619791,4344.965067825287,50351.75555433677,4226.475199068033
1,252,8199.332409396113,0.8246010369738411,233.8016317784928,33871.27215036799,48606.468201934316,1.2496730013651194,134586.65737864247,382.7356029703989,129322.84967543562,2178.201766443778,102017.66913083436,1989.6076065617071
77,142,11214.75275181261,0.7624669968372555,213.00097232436954,21930.177756095047,64340.683285283376,0.848697387565915,153696.60993407902,401.3140493822175,149085.15016738774,1294.0922268106735,83826.32434537292,1105.9846528929763
3,19,7031.538051995124,0.39586792612958527,239.39143845593637,41586.73297196121,32185.096452797065,0.49050590665722676,56466.318925165535,263.95611899163436,53101.87663290538,1784.0017019988131,51681.704609436114,1764.0398874777957
57,291,5710.748570556519,0.6289919490136958,251.02506398446903,49000.34551404302,79196.52613658743,1.0472194843210674,375990.0571929349,513.13597586694,352116.3902949447,1313.155523027521,146142.64226979538,990.6669488426742
22,63,10141.394742538958,0.05595080452453364,221.74150847036452,25736.543690280276,55954.772415641324,0.9344733944401457,103752.24358945091,350.0696124928752,98103.36300306031,1571.1933226132742,71251.82714168212,1405.3532900550904
83,81,666.5170837545476,0.6124434699676589,284.9465721020602,95096.3744090726,76425.64804951719,1.392351287198765,777234.1440844366,545.3284801097383,728474.3618802722,1762.219193387012,400565.2416747419,1483.4414344068032
95,130,8947.673791473777,0.83437016040943,230.5524274390947,30977.479871143485,52506.444655144696,1.6276576961725198,172097.43497148695,400.7585638672181,162812.0372925184,2610.8246275889583,132088.61595216443,2472.6524896769306
53,275,5712.912906762304,0.5953850905784436,248.70211560385496,49157.24695041375,51277.86248291491,1.910060822996879,176457.55391170538,399.13355440713804,166695.73963222612,3168.9524604888793,141364.27387659973,3053.8634260863314
76,154,6535.44436748391,0.4400585645378951,244.60465079629682,43799.9029483519,75927.87053931937,1.9805993261036805,295533.8895641216,474.41405681288995,287442.13115930127,2132.5071049962185,184500.15986570594,1899.291741872341
